ethanol: 	 26.8953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=34, tm_sec=35, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8944:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=5, tm_sec=40, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8944:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=6, tm_sec=6, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8944:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=6, tm_sec=31, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8942:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=37, tm_sec=37, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8941:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=38, tm_sec=3, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8941:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=38, tm_sec=29, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8935:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=9, tm_sec=25, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8936:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=9, tm_sec=51, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8936:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=10, tm_sec=16, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8932:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=41, tm_sec=23, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8932:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=41, tm_sec=49, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8932:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=42, tm_sec=14, tm_wday=5, tm_yday=104, tm_isdst=1) 
