acetone: 	 24.1928:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=21, tm_min=28, tm_sec=36, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.1928:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=21, tm_min=29, tm_sec=2, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.1927:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=21, tm_min=29, tm_sec=28, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.1553:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=34, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.1551:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.1549:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=0, tm_min=1, tm_sec=26, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.1179:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=32, tm_sec=33, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.1178:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=32, tm_sec=59, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.1176:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=33, tm_sec=24, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0794:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=5, tm_min=4, tm_sec=36, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0793:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=5, tm_min=5, tm_sec=2, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0792:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=5, tm_min=5, tm_sec=27, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0416:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=36, tm_sec=30, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0415:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=36, tm_sec=56, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=7, tm_min=37, tm_sec=22, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0033:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=10, tm_min=8, tm_sec=28, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0032:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=10, tm_min=8, tm_sec=54, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 24.0031:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=10, tm_min=9, tm_sec=20, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9660:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=40, tm_sec=18, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9659:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=40, tm_sec=43, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9658:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=12, tm_min=41, tm_sec=9, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9261:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=15, tm_min=12, tm_sec=22, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9259:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=15, tm_min=12, tm_sec=48, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.9259:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=15, tm_min=13, tm_sec=14, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8840:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=44, tm_sec=42, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8839:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=45, tm_sec=8, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8838:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=45, tm_sec=34, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8458:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=20, tm_min=16, tm_sec=42, tm_wday=5, tm_yday=104, tm_isdst=1) 
