ethanol: 	 24.7417:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=39, tm_sec=23, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=10, tm_sec=22, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=10, tm_sec=47, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=11, tm_sec=13, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7408:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=42, tm_sec=10, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7408:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=42, tm_sec=36, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7408:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=43, tm_sec=1, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7403:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=14, tm_sec=5, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7403:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=14, tm_sec=31, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7403:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=14, tm_sec=56, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7401:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=45, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7402:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=46, tm_sec=17, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7402:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=46, tm_sec=42, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7406:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=17, tm_sec=47, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7406:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=18, tm_sec=13, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7406:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=18, tm_sec=39, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7411:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=49, tm_sec=35, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7410:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=50, tm_sec=0, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7411:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=50, tm_sec=26, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=21, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=21, tm_sec=47, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=22, tm_sec=12, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=53, tm_sec=1, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7414:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=53, tm_sec=27, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7415:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=53, tm_sec=53, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=24, tm_sec=50, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=25, tm_sec=16, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=25, tm_sec=42, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7411:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=56, tm_sec=29, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7411:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=56, tm_sec=55, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 24.7411:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=57, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0042:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=10, tm_min=28, tm_sec=6, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0041:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=10, tm_min=28, tm_sec=32, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0041:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=10, tm_min=28, tm_sec=58, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0043:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=59, tm_sec=52, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0043:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=13, tm_min=0, tm_sec=18, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0042:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=13, tm_min=0, tm_sec=43, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0041:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=31, tm_sec=37, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0041:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=32, tm_sec=2, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0041:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=32, tm_sec=28, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0040:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=18, tm_min=3, tm_sec=30, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0040:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=18, tm_min=3, tm_sec=55, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0040:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=18, tm_min=4, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0038:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=35, tm_sec=22, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0038:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=35, tm_sec=48, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0038:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=36, tm_sec=13, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0034:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=23, tm_min=7, tm_sec=7, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0034:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=23, tm_min=7, tm_sec=33, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 -0.0034:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=23, tm_min=7, tm_sec=58, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 0.0006:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=24, tm_sec=41, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0006:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=25, tm_sec=7, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0006:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=25, tm_sec=33, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=21, tm_sec=33, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=21, tm_sec=59, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=22, tm_sec=25, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0004:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=5, tm_min=18, tm_sec=4, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0004:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=5, tm_min=18, tm_sec=29, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0004:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=5, tm_min=18, tm_sec=55, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0003:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=7, tm_min=14, tm_sec=25, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0003:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=7, tm_min=14, tm_sec=51, tm_wday=0, tm_yday=113, tm_isdst=1) 
ethanol: 	 0.0003:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=7, tm_min=15, tm_sec=17, tm_wday=0, tm_yday=113, tm_isdst=1) 
