ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=53, tm_sec=21, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=53, tm_sec=47, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=3, tm_sec=35, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=4, tm_sec=1, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=4, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=14, tm_sec=11, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=14, tm_sec=36, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=15, tm_sec=2, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=16, tm_min=24, tm_sec=48, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=16, tm_min=25, tm_sec=14, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=16, tm_min=25, tm_sec=40, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=17, tm_min=35, tm_sec=25, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=17, tm_min=35, tm_sec=50, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=17, tm_min=36, tm_sec=16, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=46, tm_sec=9, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=46, tm_sec=35, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=47, tm_sec=1, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=56, tm_sec=27, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=56, tm_sec=53, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=57, tm_sec=19, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=7, tm_sec=8, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=7, tm_sec=34, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=8, tm_sec=0, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=18, tm_sec=1, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=18, tm_sec=27, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=18, tm_sec=52, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=23, tm_min=28, tm_sec=41, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=23, tm_min=29, tm_sec=7, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=23, tm_min=29, tm_sec=32, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=39, tm_sec=19, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=39, tm_sec=45, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=40, tm_sec=11, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=50, tm_sec=9, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=50, tm_sec=34, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=51, tm_sec=0, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=0, tm_sec=40, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=1, tm_sec=6, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=1, tm_sec=31, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=11, tm_sec=9, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=11, tm_sec=35, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=12, tm_sec=1, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=21, tm_sec=48, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=22, tm_sec=14, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=22, tm_sec=40, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=6, tm_min=32, tm_sec=37, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=6, tm_min=33, tm_sec=3, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=6, tm_min=33, tm_sec=29, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=43, tm_sec=16, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=43, tm_sec=42, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=44, tm_sec=8, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=53, tm_sec=52, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=54, tm_sec=18, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=54, tm_sec=43, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=4, tm_sec=35, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=5, tm_sec=0, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=5, tm_sec=26, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=15, tm_sec=20, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=15, tm_sec=46, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=16, tm_sec=12, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=12, tm_min=25, tm_sec=59, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=12, tm_min=26, tm_sec=25, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=12, tm_min=26, tm_sec=51, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=36, tm_sec=28, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=36, tm_sec=54, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=37, tm_sec=19, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=47, tm_sec=2, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=47, tm_sec=28, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=47, tm_sec=54, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0014:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=57, tm_sec=38, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0013:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=58, tm_sec=3, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0012:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=58, tm_sec=29, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0017:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=8, tm_sec=2, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0016:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=8, tm_sec=28, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0016:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=8, tm_sec=53, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0020:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=18, tm_min=18, tm_sec=27, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0020:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=18, tm_min=18, tm_sec=52, tm_wday=6, tm_yday=168, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0019:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=18, tm_min=19, tm_sec=18, tm_wday=6, tm_yday=168, tm_isdst=1) 
